file_output,description,warning,sent
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/47. Array - Criação de um Array com 4 elementos do Tipo String.mp4,"#F46 47. Array - Criação de um Array com 4 elementos do Tipo String

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/48. Array - Como ler um Array com laço de repetição for.mp4,"#F47 48. Array - Como ler um Array com laço de repetição for

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/49. Trabalhando com LocalDateTime - Como obter a data e hora corrente.mp4,"#F48 49. Trabalhando com LocalDateTime - Como obter a data e hora corrente

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/50. Trabalhando com DateTimeFormatter - Como formatar a data e hora corrente.mp4,"#F49 50. Trabalhando com DateTimeFormatter - Como formatar a data e hora corrente

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/51. Trabalhando com getProperty - Como obter o diretório atual.mp4,"#F50 51. Trabalhando com getProperty - Como obter o diretório atual

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/52. Algoritmo 00 - O que são Algoritmos.mp4,"#F51 52. Algoritmo 00 - O que são Algoritmos

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/53. Algoritmo 01 - Soma de dois números inteiros [Solução].mp4,"#F52 53. Algoritmo 01 - Soma de dois números inteiros [Solução]

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/55. O que você vai aprender no módulo Básico sobre Desenvolvimento Android Kotlin.mp4,"#F53 55. O que você vai aprender no módulo Básico sobre Desenvolvimento Android Kotlin

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/56. Orientações para Instalação versão da IDE Android Studio mais recente..mp4,"#F54 56. Orientações para Instalação versão da IDE Android Studio mais recente.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/57. Aplicativo Somar Dois Números - Criação do Projeto..mp4,"#F55 57. Aplicativo Somar Dois Números - Criação do Projeto.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/58. Aplicativo Soma Dois Números - Estrutura de um projeto Kotlin Android Studio.mp4,"#F56 58. Aplicativo Soma Dois Números - Estrutura de um projeto Kotlin Android Studio

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/59. Aplicativo Somar Dois Números - Componente de Layout TextView.mp4,"#F57 59. Aplicativo Somar Dois Números - Componente de Layout TextView

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/60. Aplicativo Somar Dois Números - ConstraitLayout Tela Responsiva do aplicativo.mp4,"#F58 60. Aplicativo Somar Dois Números - ConstraitLayout Tela Responsiva do aplicativo

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/61. Aplicativo Somar Dois Números - Rodando o projeto no Emulador AVD..mp4,"#F59 61. Aplicativo Somar Dois Números - Rodando o projeto no Emulador AVD.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/62. Aplicativo Somar Dois Números - O que são os IDs para os componentes de Layout.mp4,"#F60 62. Aplicativo Somar Dois Números - O que são os IDs para os componentes de Layout

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/63. Aplicativo Somar Dois Números - Atribuindo IDs corretamente para os componentes..mp4,"#F61 63. Aplicativo Somar Dois Números - Atribuindo IDs corretamente para os componentes.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/64. Aplicativo Somar Dois Números - Declarando componentes e atributos em Kotlin.mp4,"#F62 64. Aplicativo Somar Dois Números - Declarando componentes e atributos em Kotlin

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/65. Aplicativo Somar Dois Números - Capturando CLICK nos botões programaticamente..mp4,"#F63 65. Aplicativo Somar Dois Números - Capturando CLICK nos botões programaticamente.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/66. Aplicativo Somar Dois Números - Capturando DADOS digitados no EditText.mp4,"#F64 66. Aplicativo Somar Dois Números - Capturando DADOS digitados no EditText

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/67. Aplicativo Somar Dois Números - Monitoramento ao app via modo DEBUG.mp4,"#F65 67. Aplicativo Somar Dois Números - Monitoramento ao app via modo DEBUG

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/68. Aplicativo Somar Dois Números - Validando dados digitados com método isEmpty().mp4,"#F66 68. Aplicativo Somar Dois Números - Validando dados digitados com método isEmpty()

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/69. Como será o aplicativo que você vai criar nas próximas aulas.mp4,"#F67 69. Como será o aplicativo que você vai criar nas próximas aulas

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/70. Adicionando a pasta assets para receber fontes true type..mp4,"#F68 70. Adicionando a pasta assets para receber fontes true type.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/71. Declarando os componentes de layout TextView e Button em Kotlin.mp4,"#F69 71. Declarando os componentes de layout TextView e Button em Kotlin

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/72. Declarando atributos de apoio para acessar as fontes..mp4,"#F70 72. Declarando atributos de apoio para acessar as fontes.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/73. Associando as fontes true type aos componentes TextText e Button.mp4,"#F71 73. Associando as fontes true type aos componentes TextText e Button

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
