duration,duration_seconds,file_size,format_name,total_bitrate,video_bitrate,video_codec,audio_codec,is_avc,video_profile,video_resolution_height,video_resolution_width,path_file,file_path_folder,file_name,resolution,video_resolution_to_change,subfolder_n1
00:06:28.60,388.609002,92265952,"mov,mp4,m4a,3gp,3g2,mj2",1899409,1762736,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/34.  Aula 17 - Fundamentos sobre Controle de Fluxo de Execução..mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,34.  Aula 17 - Fundamentos sobre Controle de Fluxo de Execução..mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:20:17.07,1217.073991,315180363,"mov,mp4,m4a,3gp,3g2,mj2",2071725,1935060,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/35.  Aula 18 - Controlando Fluxos com expressão IF.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,35.  Aula 18 - Controlando Fluxos com expressão IF.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:10:00.00,600.0,145821061,"mov,mp4,m4a,3gp,3g2,mj2",1944280,1807474,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/36.  Aula 20 - Controlando Fluxos com IF ELSE IF.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,36.  Aula 20 - Controlando Fluxos com IF ELSE IF.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:08:43.93,523.935011,159048108,"mov,mp4,m4a,3gp,3g2,mj2",2428516,2291826,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/37.  Aula 19 - Controlando Fluxos com IF ELSE.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,37.  Aula 19 - Controlando Fluxos com IF ELSE.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:07:32.51,452.51,130899046,"mov,mp4,m4a,3gp,3g2,mj2",2314186,2177530,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/38.  Aula 21 - Controlando Fluxos de Execução com WHEN.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,38.  Aula 21 - Controlando Fluxos de Execução com WHEN.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:05:43.42,343.422993,106200575,"mov,mp4,m4a,3gp,3g2,mj2",2473930,2337368,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/39.  Aula 22 - Conceitos sobre Laços de Repetição.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,39.  Aula 22 - Conceitos sobre Laços de Repetição.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:04:32.34,272.347007,78552236,"mov,mp4,m4a,3gp,3g2,mj2",2307416,2170493,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/40.  Aula 23 - Laços de Repetição com FOR.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,40.  Aula 23 - Laços de Repetição com FOR.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:05:02.67,302.671995,94907062,"mov,mp4,m4a,3gp,3g2,mj2",2508512,2371561,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/41.  Aula 24 - Laços de Repetição com WHILE.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,41.  Aula 24 - Laços de Repetição com WHILE.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:15:20.55,920.555,168259613,"mov,mp4,m4a,3gp,3g2,mj2",1462244,1325461,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/42.  Aplicação para WHILE - Conversão de números  Binário para Decimal  Parte 01.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,42.  Aplicação para WHILE - Conversão de números  Binário para Decimal  Parte 01.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:12:17.08,737.088,97796795,"mov,mp4,m4a,3gp,3g2,mj2",1061439,924689,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/43.  Aplicação para WHILE - Conversão de números  Binário para Decimal  Parte 02.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,43.  Aplicação para WHILE - Conversão de números  Binário para Decimal  Parte 02.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
